#!,Workbook:,,
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
Hew,-51
STUDBME2,-55
BMEStudentLab3,-88
CUFE,-65
Ramadan,-83
Ahmed Galal ,-80
iPhone 11,-74
Meeran,-83
Railway,-85
hamdy,-80
TP-LINK_AP_7094,-77
STUDBME3,-83
CMP_LAB1,-54
CMP_LAB2,-54
CMP_LAB3,-54
CMP_LAB4,-57
RehabLab,-54
D-Link_DAP-1360,-86
s,s
Ramadan,-92
Hew,-56
hamdy,-82
STUDBME2,-54
STUDBME3,-77
CUFE,-70
Aalaa Tarek,-72
iPhone 11,-73
D-Link_DAP-1360,-87
TP-LINK_AP_7094,-72
CMP_LAB1,-54
CMP-lab1,-72
CMP_LAB3,-52
CMP_LAB2,-52
CMP_LAB4,-52
Alaa1,-83
RehabLab,-60
maryem,-84
s,s
Hew,-58
STUDBME3,-71
STUDBME2,-58
hamdy,-87
Ramadan,-91
CUFE,-65
iPhone 11,-85
OPPO F5,-80
01146880660,-83
01118680688,-84
01141472186,-84
D-Link_DAP-1360,-91
Alaa1,-82
CMP_LAB1,-50
CMP_LAB2,-51
CMP-lab1,-71
RehabLab,-53
mmn,-82
s,s
Hew,-70
STUDBME3,-82
STUDBME2,-69
Ramadan,-88
D-Link_DAP-1360,-86
CUFE,-70
iPhone 11,-82
OPPO F5,-76
Meeran,-80
Alaa1,-85
CMP_LAB2,-53
CMP_LAB3,-55
RehabLab,-55
s,s
Hew,-64
STUDBME2,-62
STUDBME3,-77
CUFE,-67
Aalaa Tarek,-80
Ramadan,-89
OPPO F5,-75
01118809880,-85
Meeran,-80
iPhone 11,-83
TP-LINK_AP_7094,-76
CMP_LAB3,-54
CMP_LAB4,-56
RehabLab,-49
maryem,-82
s,s
Hew,-61
STUDBME3,-79
STUDBME2,-71
hamdy,-89
CUFE,-66
Aalaa Tarek,-89
D-Link_DAP-1360,-87
Ahmed Galal ,-85
01146880660,-84
TP-LINK_AP_7094,-79
CMP_LAB4,-60
CMP_LAB1,-62
RehabLab,-60
mmn,-87
maryem,-85
s,s
Hew,-57
hamdy,-84
STUDBME2,-70
STUDBME3,-68
CUFE,-65
iPhone 11,-79
Dr Ahmed Bahgat,-83
TP-LINK_AP_7094,-76
D-Link_DAP-1360,-87
STUDBME1,-72
CMP_LAB1,-62
CMP_LAB3,-61
CMP_LAB2,-59
CMP_LAB4,-59
RehabLab,-59
s,s
Hew,-66
STUDBME3,-70
STUDBME2,-70
Ramadan,-89
CUFE,-69
OPPO F5,-78
01141472186,-85
hamdy,-88
CMP_LAB1,-62
CMP_LAB3,-62
CMP_LAB2,-64
CMP_LAB4,-61
RehabLab,-54
s,s
Hew,-63
STUDBME3,-74
STUDBME2,-68
CUFE,-68
TP-LINK_IE,-92
Aalaa Tarek,-80
Meeran,-82
iPhone 11,-81
Ramadan,-86
TP-LINK_AP_7094,-85
Alaa1,-85
CMP_LAB1,-62
CMP_LAB3,-60
CMP_LAB2,-81
CMP_LAB4,-59
RehabLab,-61
maryem,-79
Loozazzz,-83
s,s
Hew,-72
STUDBME3,-70
hamdy,-90
STUDBME2,-73
CUFE,-68
TP-LINK_IE,-86
Aalaa Tarek,-82
Ahmed Galal ,-84
OPPO F5,-77
01146880660,-76
iPhone 11,-81
TP-LINK_AP_7094,-80
Ramadan,-91
CMP_LAB4,-73
CMP_LAB1,-56
CMP_LAB2,-56
RehabLab,-53
s,s
STUDBME3,-64
STUDBME2,-69
Hew,-71
Ramadan,-90
CUFE,-64
Aalaa Tarek,-79
OPPO F5,-75
01118680688,-78
01141472186,-81
CMP_LAB1,-65
CMP_LAB3,-66
CMP_LAB2,-63
CMP_LAB4,-63
CMP-lab1,-79
s,s
STUDBME3,-69
Hew,-63
STUDBME2,-74
Ramadan,-86
CUFE,-71
iPhone 11,-80
01141472186,-84
Dina???s iPhone,-86
01118809880,-86
Meeran,-87
TP-LINK_AP_7094,-83
CMP-lab1,-80
CMP_LAB2,-57
CMP_LAB1,-56
CMP_LAB3,-57
CMP_LAB4,-55
RehabLab,-60
s,s
STUDBME3,-71
Hew,-74
STUDBME2,-68
iPhone,-91
CUFE,-72
Aalaa Tarek,-79
Ramadan,-89
01118809880,-74
01146880660,-74
01118680688,-77
TP-LINK_AP_7094,-79
CMP_LAB4,-66
CMP_LAB1,-66
CMP_LAB3,-67
CMP_LAB2,-67
Alaa1,-92
RehabLab,-65
s,s
Hew,-69
STUDBME3,-75
STUDBME2,-74
hamdy,-88
TP-LINK_IE,-84
Aalaa Tarek,-81
CUFE,-66
OPPO F5,-78
01118680688,-81
STUDBME1,-84
Ramadan,-90
CMP_LAB1,-70
CMP_LAB3,-72
CMP_LAB4,-72
CMP_LAB2,-72
Alaa1,-86
CMP-lab1,-81
RehabLab,-56
s,s
Hew,-68
STUDBME3,-82
STUDBME2,-71
Ramadan,-92
hamdy,-90
CUFE,-73
OPPO F5,-80
01141472186,-79
01118809880,-75
01118680688,-80
iPhone,-91
CMP_LAB2,-65
CMP_LAB4,-65
CMP_LAB3,-64
CMP_LAB1,-65
RehabLab,-50
mmn,-87
s,s
