#!,Workbook:,,
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
Sbme-Staff,-57
Meeran,-79
wifi201n,-72
ARC3,-77
Etisalat 4G iModem-00BA,-68
STUDBME2,-73
CMP_LAB4,-74
CMP_LAB3,-75
CMP_LAB1,-74
s,s
STUDBME2,-66
Sbme-Staff,-56
HP-Print-47-LaserJet Pro MFP,-67
youssef,-81
Meeran,-86
ARC3,-75
Dr Ahmed Bahgat,-77
STUDBME1,-44
Linksys00057,-76
CMP_LAB1,-76
PJ-WIRELESS5,-85
s,s
Sbme-Staff,-57
STUDBME2,-69
CUFE,-88
HP-Print-47-LaserJet Pro MFP,-72
Meeran,-80
Linksys00057,-75
CMP_LAB1,-78
CMP_LAB2,-79
CMP_LAB3,-80
CMP_LAB4,-79
PJ-WIRELESS5,-87
s,s
Sbme-Staff,-51
STUDBME2,-81
ENG_CUFE_AA94,-88
HP-Print-47-LaserJet Pro MFP,-69
Dr Ahmed Bahgat,-76
ARC3,-80
wifi201n,-80
DIRECT-NBLAPTOP-D5U2HU2RYWNW,-68
Etisalat 4G iModem-00BA,-75
STUDBME1,-43
CMP_LAB1,-83
CMP_LAB3,-82
CMP_LAB2,-79
CMP_LAB4,-80
s,s
Sbme-Staff,-49
HP-Print-47-LaserJet Pro MFP,-66
wifi201n,-84
Meeran,-83
Avaya,-83
Etisalat 4G iModem-00BA,-73
STUDBME2,-84
CMP_LAB1,-84
CMP_LAB3,-82
CMP_LAB2,-84
CMP_LAB4,-84
Linksys00057,-72
PJ-WIRELESS5,-89
s,s
STUDBME2,-75
Sbme-Staff,-48
HP-Print-47-LaserJet Pro MFP,-69
Dr Ahmed Bahgat,-79
Meeran,-83
youssef,-82
POWER,-87
CMP_LAB1,-86
CMP_LAB3,-82
Linksys00057,-75
s,s
Sbme-Staff,-63
STUDBME2,-80
HP-Print-47-LaserJet Pro MFP,-64
Dr Ahmed Bahgat,-84
DIRECT-NBLAPTOP-D5U2HU2RYWNW,-78
CMP_LAB1,-88
s,s
Sbme-Staff,-62
STUDBME2,-78
HP-Print-47-LaserJet Pro MFP,-68
wifi201n,-85
DIRECT-NBLAPTOP-D5U2HU2RYWNW,-79
Etisalat 4G iModem-00BA,-79
STUDBME1,-63
s,s
Sbme-Staff,-50
STUDBME2,-81
ENG_CUFE_AA94,-89
HP-Print-47-LaserJet Pro MFP,-61
ARC3,-84
Etisalat 4G iModem-00BA,-80
CMP_LAB3,-86
s,s
Sbme-Staff,-52
HP-Print-47-LaserJet Pro MFP,-67
ARC3,-75
Etisalat 4G iModem-00BA,-78
STUDBME2,-87
Linksys00057,-74
PJ-WIRELESS5,-82
POWER,-87
s,s
Sbme-Staff,-56
STUDBME2,-85
HP-Print-47-LaserJet Pro MFP,-59
wifi201n,-81
Avaya,-83
Dr Ahmed Bahgat,-74
POWER,-84
Linksys00057,-74
s,s
Sbme-Staff,-54
STUDBME2,-86
POWER,-92
TP-Link_463C,-88
ARC3,-79
HP-Print-47-LaserJet Pro MFP,-65
wifi201n,-77
Dr Ahmed Bahgat,-78
HIWAY,-82
STUDBME1,-65
Linksys00057,-79
CIVEL,-83
s,s
Sbme-Staff,-57
POWER,-90
STUDBME2,-85
TP-Link_463C,-88
ENG_CUFE_AA94,-91
HP-Print-47-LaserJet Pro MFP,-59
HIWAY,-83
STUDBME1,-70
Linksys00057,-78
PJ-WIRELESS5,-80
CIVEL,-84
s,s
Sbme-Staff,-75
POWER,-94
STUDBME2,-84
HP-Print-47-LaserJet Pro MFP,-61
ARC3,-80
Etisalat 4G iModem-00BA,-79
HIWAY,-79
PJ-WIRELESS5,-83
s,s
POWER,-89
Sbme-Staff,-60
HP-Print-47-LaserJet Pro MFP,-59
wifi201n,-85
STUDBME2,-90
Linksys00057,-74
CIVEL,-81
PJ-WIRELESS5,-85
s,s
Sbme-Staff,-59
STUDBME2,-87
HP-Print-47-LaserJet Pro MFP,-51
Dr Ahmed Bahgat,-73
POWER,-91
Linksys00057,-81
s,s
Sbme-Staff,-56
HP-Print-47-LaserJet Pro MFP,-49
Dr Ahmed Bahgat,-73
HIWAY,-76
STUDBME1,-78
Linksys00057,-82
CIVEL,-85
STUDBME2,-91
s,s
Sbme-Staff,-60
POWER,-84
STUDBME2,-91
TP-Link_463C,-84
ENG_CUFE_AA94,-83
POCO X3 NFC,-88
HP-Print-47-LaserJet Pro MFP,-48
Dr Ahmed Bahgat,-79
HIWAY,-87
CIVEL,-75
s,s
