#!,Workbook:,,
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
Sbme-Staff,-56
ARC3,-74
Avaya,-84
HP-Print-47-LaserJet Pro MFP,-64
STUDBME2,-72
Hew,-88
CMP_LAB1,-82
CMP_LAB2,-81
s,s
Sbme-Staff,-51
STUDBME2,-69
HP-Print-47-LaserJet Pro MFP,-71
Dr Ahmed Bahgat,-78
Etisalat 4G iModem-00BA,-68
STUDBME1,-50
CMP_LAB2,-82
Linksys00057,-81
s,s
Sbme-Staff,-45
STUDBME2,-79
HP-Print-47-LaserJet Pro MFP,-74
ARC3,-83
Dr Ahmed Bahgat,-85
realme 6i,-82
CMP_LAB3,-84
s,s
STUDBME2,-80
Sbme-Staff,-48
Green Bus 62,-86
ARC3,-86
DIRECT-NBLAPTOP-D5U2HU2RYWNW,-75
Etisalat 4G iModem-00BA,-69
STUDBME1,-64
s,s
Sbme-Staff,-49
STUDBME2,-85
realme 6i,-86
HP-Print-47-LaserJet Pro MFP,-78
wifi201n,-88
ARC3,-86
Etisalat 4G iModem-00BA,-72
DIRECT-NBLAPTOP-D5U2HU2RYWNW,-77
s,s
Sbme-Staff,-48
Avaya,-88
Etisalat 4G iModem-00BA,-78
STUDBME2,-87
s,s
Sbme-Staff,-51
STUDBME2,-93
HP-Print-47-LaserJet Pro MFP,-85
Etisalat 4G iModem-00BA,-72
Linksys00057,-89
s,s
Sbme-Staff,-44
STUDBME2,-89
HP-Print-47-LaserJet Pro MFP,-84
youssef,-89
DIRECT-NBLAPTOP-D5U2HU2RYWNW,-68
STUDBME1,-71
Linksys00057,-82
s,s
Sbme-Staff,-43
Dr Ahmed Bahgat,-84
wifi201n,-81
DIRECT-NBLAPTOP-D5U2HU2RYWNW,-68
s,s
Sbme-Staff,-46
wifi201n,-86
DIRECT-NBLAPTOP-D5U2HU2RYWNW,-65
Etisalat 4G iModem-00BA,-72
STUDBME1,-66
s,s
Sbme-Staff,-52
HP-Print-47-LaserJet Pro MFP,-78
Etisalat 4G iModem-00BA,-68
Linksys00057,-78
s,s
Sbme-Staff,-41
Etisalat 4G iModem-00BA,-70
s,s
Sbme-Staff,-41
HP-Print-47-LaserJet Pro MFP,-82
Dr Ahmed Bahgat,-82
Etisalat 4G iModem-00BA,-67
Linksys00057,-88
s,s
Sbme-Staff,-48
STUDBME2,-92
youssef,-85
HP-Print-47-LaserJet Pro MFP,-76
Etisalat 4G iModem-00BA,-70
DIRECT-NBLAPTOP-D5U2HU2RYWNW,-72
STUDBME1,-69
s,s
Sbme-Staff,-54
HP-Print-47-LaserJet Pro MFP,-76
realme 6i,-92
DIRECT-NBLAPTOP-D5U2HU2RYWNW,-70
Etisalat 4G iModem-00BA,-63
STUDBME1,-70
wifi402,-89
s,s
Sbme-Staff,-44
Etisalat 4G iModem-00BA,-60
DIRECT-NBLAPTOP-D5U2HU2RYWNW,-74
s,s
Sbme-Staff,-43
HP-Print-47-LaserJet Pro MFP,-78
Etisalat 4G iModem-00BA,-59
STUDBME2,-89
Linksys00057,-79
s,s
Sbme-Staff,-47
Avaya,-81
Etisalat 4G iModem-00BA,-67
STUDBME1,-74
s,s
Sbme-Staff,-54
HP-Print-47-LaserJet Pro MFP,-81
Dr Ahmed Bahgat,-83
DIRECT-NBLAPTOP-D5U2HU2RYWNW,-75
STUDBME1,-68
Linksys00057,-77
s,s
Sbme-Staff,-49
HP-Print-47-LaserJet Pro MFP,-84
DIRECT-NBLAPTOP-D5U2HU2RYWNW,-69
STUDBME1,-68
STUDBME2,-90
s,s
Sbme-Staff,-52
Etisalat 4G iModem-00BA,-65
DIRECT-NBLAPTOP-D5U2HU2RYWNW,-73
s,s
Sbme-Staff,-45
STUDBME2,-91
Etisalat 4G iModem-00BA,-70
Linksys00057,-84
s,s
Sbme-Staff,-48
HP-Print-47-LaserJet Pro MFP,-83
ARC3,-86
youssef,-81
Etisalat 4G iModem-00BA,-70
s,s
