#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
Hew,-79
Sbme-Staff,-88
Vodafone-741D,-88
STUDBME2,-62
ARC1,-89
CMP_LAB3,-79
CMP_LAB4,-79
Galaxy Note10+,-81
Redmi,-73
s,s
Hew,-84
STUDBME2,-70
Sbme-Staff,-92
Vodafone-741D,-86
ARC1,-88
CMP_LAB3,-73
CMP_LAB4,-71
CMP_LAB1,-73
CMP_LAB2,-72
Galaxy Note10+,-84
Redmi,-74
s,s
Hew,-73
Sbme-Staff,-86
STUDBME2,-62
Vodafone-741D,-85
CUFE,-84
STUDBME1,-52
CMP_LAB1,-71
CMP_LAB4,-73
CMP_LAB3,-70
CMP_LAB2,-72
CMP-lab1,-76
Redmi,-65
s,s
Hew,-82
Sbme-Staff,-89
STUDBME2,-65
CUFE,-84
iPhone 11,-88
Vodafone-741D,-88
CMP_LAB1,-75
CMP_LAB3,-72
CMP-lab1,-77
CMP_LAB2,-71
CMP_LAB4,-73
RehabLab,-86
Redmi,-67
s,s
Hew,-82
STUDBME2,-65
Sbme-Staff,-89
HP-Print-47-LaserJet Pro MFP,-81
ARC1,-77
TP-LINK_AP_7094,-87
CMP_LAB1,-73
CMP_LAB2,-78
CMP_LAB3,-73
Galaxy Note10+,-81
Redmi,-74
s,s
Sbme-Staff,-84
STUDBME2,-59
Hew,-75
ARC1,-75
CMP_LAB3,-74
CMP_LAB1,-72
CMP_LAB4,-72
CMP_LAB2,-71
Galaxy Note10+,-77
Redmi,-70
s,s
Hew,-75
STUDBME2,-60
Sbme-Staff,-90
ARC1,-83
STUDBME1,-48
CMP_LAB1,-68
CMP_LAB3,-72
CMP_LAB2,-68
CMP_LAB4,-69
Galaxy Note10+,-75
Redmi,-71
s,s
Hew,-81
STUDBME2,-64
Sbme-Staff,-90
CUFE,-86
Vodafone-741D,-92
ARC1,-84
Dr Ahmed Bahgat,-85
Redmi,-69
s,s
Hew,-81
STUDBME2,-64
Sbme-Staff,-87
CUFE,-80
ARC1,-82
STUDBME1,-47
CMP_LAB1,-72
CMP_LAB3,-70
CMP_LAB2,-72
RehabLab,-86
Redmi,-67
s,s
Hew,-83
