#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
AndroidShare_8598,-85
Sbme-Staff,-90
STUDBME2,-91
Hew,-86
ARC3,-81
s,s
Hew,-82
Sbme-Staff,-82
STUDBME2,-86
ARC3,-76
STUDBME1,-47
Avaya,-83
Redmi,-82
s,s
Sbme-Staff,-89
Hew,-86
STUDBME2,-89
ARC3,-81
Avaya,-86
STUDBME1,-57
Avaya,-84
s,s
Sbme-Staff,-87
AndroidShare_8598,-88
Hew,-82
STUDBME2,-89
STUDBME1,-44
Avaya,-86
Redmi,-86
s,s
Hew,-74
Sbme-Staff,-89
STUDBME2,-82
s,s
Hew,-76
Sbme-Staff,-81
STUDBME2,-79
CMP_LAB1,-85
M,-87
Avaya,-85
Redmi,-87
s,s
Hew,-79
Sbme-Staff,-86
STUDBME2,-81
ARC3,-75
CMP_LAB3,-85
Avaya,-80
s,s
Hew,-73
Sbme-Staff,-85
STUDBME2,-85
ARC3,-77
STUDBME1,-52
Redmi,-85
s,s
Sbme-Staff,-87
STUDBME2,-87
Hew,-77
ARC3,-78
ESP_087325,-83
Avaya,-86
EBB58B1B-@E8D0djOiR1AOmn,-91
s,s
Hew,-88
Sbme-Staff,-85
STUDBME2,-85
STUDBME1,-51
CMP_LAB4,-92
CMP_LAB2,-89
AndroidShare_8598,-94
s,s
STUDBME2,-84
Hew,-78
Sbme-Staff,-90
AndroidShare_8598,-89
Redmi,-85
s,s
Sbme-Staff,-79
STUDBME2,-85
Hew,-80
Avaya,-83
ARC3,-81
AndroidShare_8598,-93
Redmi,-85
s,s
Sbme-Staff,-85
Hew,-79
STUDBME2,-82
ARC3,-76
Avaya,-86
s,s
Hew,-84
Sbme-Staff,-82
STUDBME2,-90
ARC3,-74
STUDBME1,-52
ESP_087325,-88
s,s
Hew,-73
Sbme-Staff,-82
STUDBME2,-84
ARC3,-77
Avaya,-86
Redmi,-85
s,s
STUDBME2,-88
Sbme-Staff,-82
Avaya,-82
Hew,-75
STUDBME1,-45
Redmi,-85
s,s
Sbme-Staff,-78
Hew,-86
Avaya,-83
STUDBME2,-88
Redmi,-91
AndroidShare_8598,-88
s,s
Sbme-Staff,-78
AndroidShare_8598,-84
ARC3,-81
CMP_LAB4,-86
Hew,-85
STUDBME2,-87
Redmi,-83
s,s
Hew,-70
Sbme-Staff,-79
STUDBME2,-89
ARC3,-71
STUDBME1,-44
Redmi,-83
s,s
Sbme-Staff,-78
STUDBME2,-89
Hew,-74
ARC3,-80
STUDBME1,-47
AndroidShare_8598,-88
Redmi,-86
s,s
Sbme-Staff,-77
Hew,-73
STUDBME2,-85
DIR-615T-5f4e,-85
Redmi,-85
s,s
Sbme-Staff,-84
Hew,-71
STUDBME2,-87
CMP_LAB2,-85
CMP_LAB3,-83
Redmi,-80
s,s
Sbme-Staff,-80
STUDBME2,-84
Hew,-78
DIR-615T-5f4e,-84
Redmi,-85
s,s
Hew,-76
Sbme-Staff,-76
STUDBME2,-90
ARC3,-77
HP-Print-47-LaserJet Pro MFP,-87
AndroidShare_8598,-90
M,-86
Redmi,-82
s,s
Hew,-75
Sbme-Staff,-74
STUDBME2,-88
ARC3,-79
STUDBME1,-52
ESP_087325,-87
Avaya,-86
Avaya,-86
s,s
Hew,-82
Sbme-Staff,-90
ARC3,-82
Avaya,-80
STUDBME1,-54
CMP_LAB1,-84
AndroidShare_8598,-93
STUDBME2,-89
s,s
Sbme-Staff,-80
Hew,-74
STUDBME2,-88
AndroidShare_8598,-91
DIR-615T-5f4e,-83
Redmi,-84
s,s
Hew,-77
Sbme-Staff,-79
Avaya,-79
AndroidShare_8598,-85
STUDBME2,-93
CMP_LAB1,-87
CMP_LAB2,-84
CMP_LAB3,-86
CMP_LAB4,-84
Redmi,-90
s,s
Sbme-Staff,-95
Hew,-87
STUDBME2,-88
ESP_087325,-86
Avaya,-84
DIR-615T-5f4e,-86
Redmi,-87
s,s
Hew,-84
Sbme-Staff,-87
STUDBME2,-87
ARC3,-76
HP-Print-47-LaserJet Pro MFP,-82
Avaya,-87
DIR-615T-5f4e,-86
Redmi,-85
s,s
Hew,-72
AndroidShare_8598,-75
Sbme-Staff,-85
ARC3,-75
STUDBME1,-52
ESP_087325,-86
Avaya,-82
STUDBME2,-86
Redmi,-87
s,s
Sbme-Staff,-77
STUDBME2,-86
Hew,-90
ARC3,-76
STUDBME1,-46
s,s
STUDBME2,-89
Sbme-Staff,-81
AndroidShare_8598,-92
Hew,-87
s,s
Sbme-Staff,-82
Avaya,-81
STUDBME2,-86
Hew,-84
CMP_LAB3,-87
Avaya,-81
DIR-615T-5f4e,-85
s,s
Sbme-Staff,-86
Hew,-79
HP-Print-47-LaserJet Pro MFP,-89
ARC3,-83
AndroidShare_8598,-94
STUDBME2,-90
Avaya,-80
DIR-615T-5f4e,-83
Redmi,-83
s,s
Sbme-Staff,-87
STUDBME2,-90
Hew,-86
ARC3,-86
HP-Print-47-LaserJet Pro MFP,-81
STUDBME1,-50
AndroidShare_8598,-92
DIR-615T-5f4e,-87
s,s
Sbme-Staff,-81
Hew,-85
AndroidShare_8598,-86
STUDBME2,-86
ARC3,-73
STUDBME1,-54
DIR-615T-5f4e,-83
s,s
Sbme-Staff,-84
Hew,-85
STUDBME2,-87
AndroidShare_8598,-91
Avaya,-75
STUDBME1,-55
DIR-615T-5f4e,-88
s,s
Sbme-Staff,-86
STUDBME2,-87
ARC3,-75
Avaya,-81
Hew,-76
CMP_LAB3,-85
Redmi,-86
s,s
Sbme-Staff,-82
Hew,-82
Avaya,-82
Avaya,-88
s,s
Hew,-74
Sbme-Staff,-83
STUDBME2,-90
ARC3,-84
ESP_087325,-82
Redmi,-86
s,s
Sbme-Staff,-76
STUDBME2,-91
Hew,-87
Avaya,-91
ARC3,-75
AndroidShare_8598,-79
ESP_087325,-79
Avaya,-77
Avaya,-88
s,s
Hew,-76
Sbme-Staff,-84
ARC3,-79
Avaya,-81
STUDBME1,-51
Redmi,-82
s,s
Hew,-82
Avaya,-77
STUDBME2,-85
Sbme-Staff,-82
Avaya,-90
Redmi,-85
s,s
Hew,-77
Sbme-Staff,-80
Orange-8778,-92
Redmi,-83
s,s
Hew,-82
Sbme-Staff,-84
Avaya,-74
ARC3,-82
Redmi,-87
s,s
Sbme-Staff,-86
STUDBME2,-92
ARC3,-77
HP-Print-47-LaserJet Pro MFP,-88
Hew,-83
s,s
STUDBME2,-83
Sbme-Staff,-86
ARC3,-79
ESP_087325,-83
Avaya,-86
Redmi,-85
s,s
