STUDBME1,STUDBME2,CMP_LAB1,CMP_LAB2,CMP_LAB3,CMP_LAB4,target
0,-72,-82,-81,0,0,2
-50,-69,-82,-82,0,0,2
-50,-79,-82,-82,-84,0,2
-64,-80,-82,-82,-84,0,2
-64,-85,-82,-82,-84,0,2
-64,-87,-82,-82,-84,0,2
-64,-93,-82,-82,-84,0,2
-71,-89,-82,-82,-84,0,2
-71,-89,-82,-82,-84,0,2
-66,-89,-82,-82,-84,0,2
-66,-89,-82,-82,-84,0,2
-66,-89,-82,-82,-84,0,2
-66,-89,-82,-82,-84,0,2
-69,-92,-82,-82,-84,0,2
-70,-92,-82,-82,-84,0,2
-70,-92,-82,-82,-84,0,2
-70,-89,-82,-82,-84,0,2
-74,-89,-82,-82,-84,0,2
-68,-89,-82,-82,-84,0,2
-68,-90,-82,-82,-84,0,2
-68,-90,-82,-82,-84,0,2
-68,-91,-82,-82,-84,0,2
-68,-91,-82,-82,-84,0,2
