,STUDBME1,STUDBME2,CMP_LAB1,CMP_LAB2,CMP_LAB3,CMP_LAB4,target
0,0,-73,-74,0,-75,-74,1
1,-44,-66,-76,0,-75,-74,1
2,-44,-69,-78,-79,-80,-79,1
3,-43,-81,-83,-79,-82,-80,1
4,-43,-84,-84,-84,-82,-84,1
5,-43,-75,-86,-84,-82,-84,1
6,-43,-80,-88,-84,-82,-84,1
7,-63,-78,-88,-84,-82,-84,1
8,-63,-81,-88,-84,-86,-84,1
9,-63,-87,-88,-84,-86,-84,1
10,-63,-85,-88,-84,-86,-84,1
11,-65,-86,-88,-84,-86,-84,1
12,-70,-85,-88,-84,-86,-84,1
13,-70,-84,-88,-84,-86,-84,1
14,-70,-90,-88,-84,-86,-84,1
15,-70,-87,-88,-84,-86,-84,1
16,-78,-91,-88,-84,-86,-84,1
17,-78,-91,-88,-84,-86,-84,1
0,0,-53,-52,-51,-51,0,10
1,0,-57,-50,-50,-52,-50,10
2,0,-49,-48,-46,-47,-46,10
3,-60,-56,-47,-47,-47,-47,10
4,-66,-53,-51,-51,-51,-52,10
5,-66,-58,-44,-44,-44,-44,10
6,-66,-58,-45,-45,-45,-47,10
7,-64,-52,-38,-37,-45,-47,10
8,-63,-55,-38,-38,-34,-47,10
9,-63,-55,-45,-46,-44,-49,10
10,-63,-55,-41,-46,-44,-43,10
11,-61,-57,-46,-47,-46,-47,10
12,-68,-56,-47,-52,-53,-48,10
13,-68,-54,-51,-51,-76,-51,10
14,-68,-55,-52,-51,-76,-51,10
15,-72,-51,-54,-53,-54,-51,10
16,-72,-55,-50,-49,-50,-50,10
17,-72,-61,-52,-52,-51,-53,10
18,-60,-55,-48,-46,-49,-46,10
19,-69,-63,-48,-46,-54,-54,10
20,-69,-55,-53,-53,-55,-54,10
21,-69,-60,-51,-52,-55,-54,10
22,-68,-54,-51,-56,-54,-54,10
23,-68,-56,-58,-62,-58,-58,10
24,-68,-56,-54,-53,-58,-58,10
25,-68,-64,-51,-51,-50,-52,10
26,-68,-64,-54,-54,-55,-52,10
0,0,-58,0,-72,-74,0,11
1,0,-57,0,-72,-74,-71,11
2,0,-58,0,-72,-74,-71,11
3,0,-55,0,-72,-74,-71,11
4,0,-57,-74,-72,-74,-71,11
5,0,-55,-74,-72,-74,-71,11
6,-73,-56,-70,-72,-74,-71,11
7,-73,-53,-70,-71,-74,-71,11
8,-73,-57,-70,-71,-74,-71,11
9,-73,-55,-70,-71,-74,-71,11
10,-73,-53,-70,-71,-74,-74,11
11,-73,-55,-71,-71,-74,-74,11
12,-73,-58,-71,-71,-74,-74,11
13,-73,-64,-71,-71,-74,-74,11
14,-73,-59,-71,-71,-76,-74,11
15,-73,-55,-76,-71,-76,-74,11
16,-73,-54,-75,-75,-76,-76,11
17,-73,-61,-75,-73,-76,-76,11
18,-73,-56,-78,-73,-76,-72,11
19,-73,-55,-78,-69,-76,-72,11
20,-73,-53,-72,-72,-71,-71,11
21,-73,-53,-71,-76,-76,-75,11
22,-73,-55,-71,-76,-76,-71,11
23,-73,-54,-75,-78,-76,-73,11
24,-73,-49,-74,-78,-76,-73,11
25,-73,-58,-74,-78,-66,-73,11
26,-73,-52,-74,-78,-66,-73,11
27,-73,-49,-74,-78,-66,-64,11
28,-73,-40,-69,-69,-69,-69,11
0,0,-55,-54,-54,-54,-57,12
1,0,-54,-54,-52,-52,-52,12
2,0,-58,-50,-51,-52,-52,12
3,0,-69,-50,-53,-55,-52,12
4,0,-62,-50,-53,-54,-56,12
5,0,-71,-62,-53,-54,-60,12
6,-72,-70,-62,-59,-61,-59,12
7,-72,-70,-62,-64,-62,-61,12
8,-72,-68,-62,-81,-60,-59,12
9,-72,-73,-56,-56,-60,-73,12
10,-72,-69,-65,-63,-66,-63,12
11,-72,-74,-56,-57,-57,-55,12
12,-72,-68,-66,-67,-67,-66,12
13,-84,-74,-70,-72,-72,-72,12
14,-84,-71,-65,-65,-64,-65,12
0,0,-72,-82,-81,0,0,2
1,-50,-69,-82,-82,0,0,2
2,-50,-79,-82,-82,-84,0,2
3,-64,-80,-82,-82,-84,0,2
4,-64,-85,-82,-82,-84,0,2
5,-64,-87,-82,-82,-84,0,2
6,-64,-93,-82,-82,-84,0,2
7,-71,-89,-82,-82,-84,0,2
8,-71,-89,-82,-82,-84,0,2
9,-66,-89,-82,-82,-84,0,2
10,-66,-89,-82,-82,-84,0,2
11,-66,-89,-82,-82,-84,0,2
12,-66,-89,-82,-82,-84,0,2
13,-69,-92,-82,-82,-84,0,2
14,-70,-92,-82,-82,-84,0,2
15,-70,-92,-82,-82,-84,0,2
16,-70,-89,-82,-82,-84,0,2
17,-74,-89,-82,-82,-84,0,2
18,-68,-89,-82,-82,-84,0,2
19,-68,-90,-82,-82,-84,0,2
20,-68,-90,-82,-82,-84,0,2
21,-68,-91,-82,-82,-84,0,2
22,-68,-91,-82,-82,-84,0,2
0,0,-71,-78,0,0,-82,3
1,0,-71,-84,-80,0,-82,3
2,0,-75,-84,-78,-79,-82,3
3,-39,-73,-74,-77,-78,-78,3
4,-39,-74,-74,-77,-78,-77,3
5,-39,-74,-79,-77,-78,-78,3
6,-39,-68,-79,-77,-78,-78,3
7,-41,-65,-79,-76,-77,-78,3
8,-41,-66,-79,-75,-76,-77,3
9,-45,-68,-77,-78,-80,-79,3
10,-45,-66,-77,-77,-80,-76,3
11,-45,-70,-77,-77,-81,-76,3
12,-45,-73,-72,-72,-72,-72,3
13,-48,-69,-72,-77,-78,-75,3
14,-48,-67,-77,-77,-78,-75,3
15,-48,-62,-81,-83,-82,-80,3
16,-48,-65,-79,-79,-76,-76,3
17,-44,-70,-79,-79,-76,-76,3
18,-44,-68,-79,-79,-76,-76,3
19,-47,-73,-77,-74,-76,-75,3
20,-47,-69,-79,-79,-78,-79,3
21,-47,-69,-79,-77,-75,-79,3
0,0,-62,0,0,-79,-79,4
