,El-lab,El-modarag,Redmi,youssef,Farouk,target
0,-100,-66,-50,-100,-100,3
1,-100,-68,-47,-100,-100,3
2,-100,-69,-47,-100,-84,3
3,-100,-100,-46,-100,-100,3
4,-100,-71,-46,-86,-100,3
5,-100,-68,-49,-100,-100,3
6,-100,-64,-61,-84,-100,3
7,-100,-66,-47,-100,-100,3
8,-100,-71,-47,-100,-100,3
9,-100,-100,-49,-100,-100,3
10,-100,-69,-51,-100,-100,3
11,-100,-68,-52,-100,-100,3
12,-100,-74,-50,-100,-100,3
13,-100,-72,-72,-100,-100,3
14,-100,-73,-64,-100,-73,3
15,-100,-65,-55,-100,-100,3
16,-100,-68,-59,-100,-100,3
17,-100,-65,-52,-100,-100,3
18,-100,-64,-50,-100,-100,3
19,-100,-64,-67,-100,-100,3
20,-100,-67,-68,-100,-100,3
21,-100,-100,-56,-100,-100,3
22,-100,-100,-65,-100,-100,3
23,-100,-70,-67,-100,-79,3
24,-100,-67,-52,-83,-100,3
25,-100,-62,-63,-100,-74,3
26,-100,-66,-77,-100,-100,3
27,-100,-62,-62,-100,-100,3
28,-100,-65,-69,-100,-100,3
29,-100,-68,-57,-100,-80,3
30,-100,-59,-63,-100,-100,3
31,-100,-65,-55,-100,-100,3
32,-100,-70,-100,-100,-100,3
33,-100,-63,-71,-100,-100,3
34,-100,-66,-77,-100,-100,3
35,-100,-67,-73,-100,-77,3
36,-100,-65,-68,-100,-100,3
37,-100,-70,-70,-100,-100,3
38,-100,-58,-54,-100,-100,3
39,-100,-70,-59,-100,-75,3
40,-100,-67,-58,-100,-100,3
41,-100,-65,-58,-100,-100,3
42,-100,-67,-54,-100,-100,3
43,-100,-67,-59,-100,-100,3
44,-100,-67,-61,-100,-100,3
45,-100,-66,-51,-100,-100,3
46,-100,-64,-59,-100,-100,3
47,-100,-66,-100,-100,-100,3
48,-100,-64,-100,-100,-100,3
49,-100,-68,-68,-100,-100,3
50,-100,-65,-74,-100,-100,3
51,-100,-62,-53,-86,-77,3
52,-100,-68,-66,-85,-100,3
53,-100,-73,-55,-84,-100,3
54,-100,-67,-71,-100,-100,3
55,-100,-64,-56,-100,-100,3
56,-100,-67,-52,-100,-100,3
57,-100,-68,-60,-100,-100,3
58,-100,-69,-65,-100,-100,3
59,-100,-69,-57,-100,-100,3
60,-100,-71,-49,-87,-100,3
61,-100,-68,-48,-85,-100,3
62,-100,-69,-51,-88,-100,3
63,-100,-69,-64,-100,-100,3
64,-100,-76,-68,-100,-100,3
65,-100,-68,-61,-100,-100,3
66,-100,-70,-54,-100,-100,3
67,-100,-65,-53,-100,-85,3
68,-100,-65,-73,-100,-100,3
69,-100,-72,-58,-100,-100,3
70,-100,-68,-65,-88,-100,3
71,-100,-67,-66,-100,-100,3
72,-100,-64,-52,-100,-100,3
73,-100,-71,-55,-100,-76,3
74,-100,-64,-100,-100,-100,3
75,-100,-72,-100,-100,-100,6
76,-100,-80,-100,-100,-100,6
77,-100,-100,-100,-100,-100,6
78,-100,-100,-100,-100,-100,6
79,-100,-78,-100,-100,-100,6
80,-100,-80,-100,-81,-100,6
81,-100,-82,-100,-100,-100,6
82,-100,-100,-100,-100,-100,6
83,-100,-100,-100,-100,-100,6
84,-100,-76,-100,-100,-100,6
85,-100,-100,-100,-85,-100,6
86,-100,-78,-100,-89,-100,6
87,-100,-79,-87,-100,-100,6
88,-100,-100,-74,-100,-100,6
89,-100,-100,-100,-100,-100,6
90,-100,-79,-73,-85,-100,6
91,-100,-75,-78,-86,-100,6
92,-100,-72,-100,-85,-100,6
93,-100,-76,-67,-85,-100,6
94,-100,-100,-100,-100,-100,6
95,-100,-78,-100,-100,-100,6
96,-100,-77,-100,-86,-100,6
97,-100,-74,-80,-76,-84,6
98,-100,-100,-100,-81,-100,6
99,-100,-100,-74,-78,-100,6
100,-100,-77,-68,-100,-100,6
101,-100,-77,-80,-100,-81,6
102,-100,-73,-75,-84,-100,6
103,-100,-82,-71,-91,-100,6
104,-100,-81,-81,-100,-100,6
105,-100,-100,-100,-100,-100,6
106,-100,-100,-77,-100,-100,6
107,-100,-76,-77,-80,-100,6
108,-100,-76,-100,-79,-100,6
109,-100,-81,-100,-100,-100,6
110,-100,-100,-100,-100,-100,6
111,-100,-100,-100,-100,-100,6
112,-100,-100,-78,-100,-100,6
113,-100,-80,-100,-88,-100,6
114,-100,-79,-100,-86,-100,6
115,-100,-81,-100,-100,-100,6
116,-100,-100,-100,-100,-100,6
117,-100,-100,-100,-100,-100,6
118,-100,-76,-72,-100,-100,6
119,-100,-100,-69,-87,-100,6
120,-100,-83,-77,-88,-100,6
121,-100,-79,-82,-100,-100,6
122,-100,-100,-81,-100,-100,6
123,-100,-100,-73,-100,-100,6
124,-100,-100,-74,-83,-100,6
125,-100,-75,-72,-100,-100,6
126,-100,-73,-76,-82,-100,6
127,-100,-79,-77,-79,-100,6
128,-100,-100,-70,-100,-100,6
129,-100,-79,-74,-100,-100,6
130,-100,-81,-72,-100,-100,6
131,-100,-80,-73,-100,-100,6
132,-100,-100,-75,-100,-100,6
133,-100,-100,-100,-100,-100,6
134,-100,-100,-80,-100,-100,6
135,-100,-100,-100,-92,-100,6
136,-100,-100,-100,-100,-100,6
137,-100,-100,-100,-86,-100,6
138,-100,-79,-100,-100,-100,6
139,-100,-100,-100,-82,-100,6
140,-100,-100,-76,-100,-100,6
141,-100,-100,-75,-100,-100,6
142,-100,-78,-100,-100,-100,6
143,-100,-75,-77,-83,-100,6
144,-100,-73,-100,-100,-100,6
145,-100,-73,-100,-100,-85,6
146,-100,-100,-67,-100,-100,6
147,-100,-80,-75,-100,-100,6
148,-100,-100,-84,-86,-100,6
149,-100,-74,-100,-100,-100,6
150,-100,-55,-70,-65,-100,7
151,-100,-61,-68,-76,-100,7
152,-100,-54,-74,-65,-100,7
153,-100,-100,-100,-100,-100,7
154,-100,-100,-100,-75,-100,7
155,-100,-100,-77,-72,-100,7
156,-100,-70,-72,-100,-100,7
157,-100,-69,-70,-72,-100,7
158,-100,-76,-83,-73,-100,7
159,-100,-100,-100,-71,-100,7
160,-100,-100,-100,-68,-100,7
161,-100,-100,-70,-67,-100,7
162,-100,-72,-77,-60,-100,7
163,-100,-58,-100,-67,-100,7
164,-100,-100,-83,-67,-100,7
165,-100,-100,-100,-73,-100,7
166,-100,-100,-76,-64,-100,7
167,-100,-63,-72,-67,-79,7
168,-100,-100,-70,-67,-100,7
169,-100,-59,-71,-64,-100,7
170,-100,-64,-69,-77,-100,7
171,-100,-60,-84,-64,-100,7
172,-100,-100,-73,-100,-100,7
173,-100,-68,-71,-73,-100,7
174,-100,-66,-75,-68,-100,7
175,-100,-64,-100,-70,-100,7
176,-100,-67,-100,-77,-100,7
177,-100,-100,-100,-73,-100,7
