WE_41B884,youssef,STUDBME2,CMP_LAB3,El-modarag,STUDBME1,CMP_LAB4,CMP_LAB2,ARC3,Sbme-Staff,CMP_LAB1,El-lab,Mo_Hamza,Farouk,RehabLab,Gamil,TP-Link_463C,redmi,ARC1,target
-65,-100,-56,-100,-100,-74,-100,-100,-100,-100,-100,-48,-70,-100,-100,-100,-100,-100,-100,12
-82,-77,-79,-100,-75,-66,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,8
-51,-100,-52,-100,-100,-46,-100,-100,-100,-100,-100,-70,-100,-100,-84,-87,-100,-100,-100,9
-57,-100,-59,-100,-100,-100,-47,-100,-100,-100,-45,-100,-100,-59,-100,-100,-100,-100,-100,11
-73,-80,-69,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,7
-72,-100,-74,-100,-80,-68,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,6
-44,-91,-48,-100,-100,-59,-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,9
-68,-75,-68,-72,-75,-69,-100,-100,-100,-100,-72,-100,-100,-100,-100,-77,-100,-100,-100,8
-67,-100,-71,-100,-65,-49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-100,-100,-100,5
-53,-100,-48,-56,-100,-100,-100,-100,-100,-100,-100,-100,-100,-57,-100,-100,-100,-100,-100,10
-59,-100,-66,-73,-100,-100,-100,-100,-100,-100,-100,-45,-60,-100,-100,-100,-100,-100,-100,12
-55,-73,-65,-70,-69,-54,-100,-100,-100,-100,-65,-100,-100,-100,-100,-100,-100,-100,-100,7
-69,-100,-63,-100,-73,-46,-85,-100,-63,-83,-100,-100,-100,-100,-100,-59,-100,-100,-79,5
-49,-79,-53,-100,-100,-50,-57,-59,-100,-100,-100,-100,-100,-66,-100,-88,-100,-100,-100,9
-81,-67,-74,-84,-70,-67,-100,-100,-100,-100,-86,-100,-100,-100,-100,-90,-100,-100,-100,8
-39,-100,-43,-61,-100,-55,-63,-62,-100,-100,-100,-74,-100,-73,-100,-100,-100,-100,-100,9
-89,-64,-82,-79,-71,-72,-100,-79,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,8
-55,-100,-57,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,-54,-60,-100,-100,-100,-100,11
-64,-100,-58,-76,-100,-100,-100,-100,-100,-100,-100,-54,-64,-100,-100,-100,-100,-100,-100,13
-37,-100,-47,-54,-100,-57,-54,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,9
-45,-100,-45,-53,-100,-57,-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,9
-47,-100,-51,-56,-100,-100,-100,-100,-100,-100,-55,-69,-100,-75,-100,-100,-100,-100,-100,9
-51,-100,-49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,13
-66,-100,-52,-100,-100,-100,-100,-100,-100,-100,-74,-49,-65,-100,-100,-100,-100,-100,-100,12
-58,-100,-55,-39,-100,-60,-100,-39,-100,-100,-41,-100,-100,-100,-70,-100,-100,-100,-100,11
-65,-86,-69,-77,-100,-67,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,6
-60,-100,-55,-74,-100,-100,-100,-75,-100,-100,-75,-56,-100,-100,-100,-100,-100,-100,-100,13
-73,-89,-81,-100,-85,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-96,-100,-100,6
-68,-100,-53,-100,-100,-75,-100,-69,-100,-100,-100,-50,-72,-100,-100,-100,-100,-100,-100,12
-69,-89,-66,-100,-77,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,6
-60,-100,-59,-50,-100,-72,-49,-51,-100,-100,-49,-100,-76,-44,-78,-100,-100,-100,-100,11
-55,-100,-47,-100,-100,-71,-100,-42,-100,-100,-41,-100,-71,-56,-100,-100,-100,-100,-100,11
-63,-81,-70,-100,-100,-58,-100,-72,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,7
-68,-100,-63,-72,-100,-100,-72,-100,-100,-100,-73,-49,-70,-100,-100,-100,-100,-100,-100,12
-56,-80,-57,-100,-100,-51,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,7
-58,-100,-58,-100,-100,-58,-100,-100,-100,-100,-100,-100,-100,-57,-75,-100,-100,-100,-100,10
-74,-85,-70,-73,-77,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-95,-100,-100,6
-71,-73,-65,-76,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,8
-74,-80,-74,-79,-100,-65,-78,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,8
-44,-89,-49,-100,-100,-51,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,9
-41,-90,-53,-58,-100,-62,-60,-60,-100,-100,-100,-100,-100,-66,-77,-100,-100,-100,-100,9
